original_index,img_link,budget_value,revenue_value,lang
16808,https://media.themoviedb.org/t/p/w300_and_h450_face/oMSFccYqe8kLm52Hmp44DGuLM5r.jpg,,,English
26724,https://media.themoviedb.org/t/p/w300_and_h450_face/fJyOupPvVi3f8dFnctDtekSEgs1.jpg,,,Swedish
5906,https://media.themoviedb.org/t/p/w300_and_h450_face/fUlTnmldkZQCSOy3nCAfire0SWM.jpg,,604856.0,English
4064,https://media.themoviedb.org/t/p/w300_and_h450_face/lgH7Wej9922C1MQv0wciAfesKH8.jpg,75000000.0,5409517.0,English
26725,https://media.themoviedb.org/t/p/w300_and_h450_face/qD54LiOT4xywx3HUKjCAw58BRhR.jpg,,,Swedish
26726,https://media.themoviedb.org/t/p/w300_and_h450_face/pmJT07tBpHsFOfXCXHoSNkYDyLF.jpg,,,Swedish
16810,https://media.themoviedb.org/t/p/w300_and_h450_face/e4yibkwpcwLhNalcBcxiTsm8fpp.jpg,,,Arabic
4063,https://media.themoviedb.org/t/p/w300_and_h450_face/cPbkNfGmCKOSbAVrLqcbYuKT5cE.jpg,,,English
16811,https://media.themoviedb.org/t/p/w300_and_h450_face/tPs6Lnp0vfiQDzZELxd4uI09AYa.jpg,,,French
26727,https://media.themoviedb.org/t/p/w300_and_h450_face/5qrDx7n1BVsVI81kcO0Av8vVplz.jpg,,,Swedish
4065,https://media.themoviedb.org/t/p/w300_and_h450_face/iYFlq63PXbAXLh6QlA2ByQf63Ad.jpg,62000000.0,18720175.0,English
5907,https://media.themoviedb.org/t/p/w300_and_h450_face/FRqnYDjbstsCgLSJJ3SifOh2ca.jpg,18000000.0,101564935.0,English
16812,https://media.themoviedb.org/t/p/w300_and_h450_face/3Xx7ozeiCRXcfyNZPi9KZEaDMZF.jpg,,,Finnish
5908,https://media.themoviedb.org/t/p/w300_and_h450_face/pH5ecoyU15xwFBNAGFJgh2vXEe7.jpg,,,English
4066,https://media.themoviedb.org/t/p/w300_and_h450_face/dFQ2kQA9JlAIO0uL2KkrsmI4o2O.jpg,,,French
5909,https://media.themoviedb.org/t/p/w300_and_h450_face/mbAG0JOVgcOIH8LVVynw87ONgej.jpg,,,French
16813,https://media.themoviedb.org/t/p/w300_and_h450_face/vlZDRNrKljJmmTveUToMrI2zAi6.jpg,1653000.0,3669000.0,English
16814,https://media.themoviedb.org/t/p/w300_and_h450_face/sMfTUp1Ic53zKZwtskLt9XLeUCU.jpg,,,English
